"Product Name",Type,SKU,"Attribute Set Name","Skin Concern(s)","Benefits - Quiz",status,qty
"Fine Lines / Sensitive / Normal / Cyto",simple,FineLinesWrinklesSensitive-Normal-Cyto,Default,,,enabled,0
"Fine Lines / Sensitive / Dry / Cyto",simple,FineLinesWrinklesSensitiveDry-Cyto,Default,,,enabled,0
"Fine Lines / Discoloration / Dry/Normal / Cyto",simple,FineLinesWrinklesDiscoloration-DryNormal-Cyto,Default,,,enabled,0
"Acne / Dry/Normal / Cyto",simple,Acne-Cyto,Default,,,enabled,0
"Acne / Discoloration / Dry / Cyto",simple,AcneDiscoloration-Dry-Cyto,Default,,,enabled,0
"Acne / Discoloration / Combo/Oily / Cyto",simple,AcneDiscolorationComboOily-Cyto,Default,,,enabled,0
"Acne / Enlarged Pores / Combo/Oily / Cyto",simple,AcneEnlargedPoresComboOily-Cyto,Default,,,enabled,0
"Acne / Enlarged Pores / Dry / Cyto",simple,AcneEnlargedPoresDry-Cyto,Default,,,enabled,0
"Acne / Sensitive / Dry/Normal / Cyto",simple,AcneSensitiveDryNormal-Cyto,Default,,,enabled,0
"Acne / Sensitive / Oily/Combo / Cyto",simple,AcneSensitiveOilyCombo-Cyto,Default,,,enabled,0
"Enlarged Pores / Dry/Normal / Cyto",simple,EnlargedPoresDryNormal-Cyto,Default,,,enabled,0
"Enlarged Pores / Oily / Cyto",simple,EnlargedPoresOily-Cyto,Default,,,enabled,0
"Discoloration / Dry/Normal / Cyto",simple,DiscolorationDryNormal-Cyto,Default,,,enabled,0
"Discoloration / Enlarged Pores / Dry/Normal / Cyto",simple,DiscolorationEnlargedPoresDryNormal-Cyto,Default,,,enabled,0
"Discoloration / Oily / Cyto",simple,DiscolorationOily-Cyto,Default,,,enabled,0
"Discoloration / Enlarged Pores / Oily / Cyto",simple,DiscolorationEnlargedPoresOily-Cyto,Default,,,enabled,0
"Discoloration / Sensitive / Dry / Cyto",simple,DiscolorationSensitiveDry-Cyto,Default,,,enabled,0
"Discoloration / Sensitive / Oily / Cyto",simple,DiscolorationSensitiveOily-Cyto,Default,,,enabled,0
"Sensitive / Dry/Normal / Cyto",simple,"Sensitive / Dry/Normal / Cyto",Default,,,enabled,0
"Sensitive / Enlarged Pores / Dry/Normal / Cyto",simple,SensitiveEnlargedPoresDryNormal-Cyto,Default,,,enabled,0
"Sensitive / Enlarged Pores / Oily / Cyto",simple,SensitiveEnlargedPores-Oily-Cyto,Default,,,enabled,0
"Sensitive / Oily / Cyto",simple,SensitiveOily-Cyto,Default,,,enabled,0
"Fine Lines / Dry / Line",simple,FineLinesWrinkles-Dry-Line,Default,,,enabled,0
"Fine Lines / Oily / Line",simple,FineLinesWrinklesOily-Line,Default,,,enabled,0
"Fine Lines / Enlarged Pores / Oily / Line",simple,FineLinesWrinklesEnlargedPoresOily-Line,Default,,,enabled,0
"Fine Lines / Enlarged Pores / Dry/Normal / Line",simple,FineLinesWrinklesEnlargedPoresDryNormal-Line,Default,,,enabled,0
"Fine Lines / Acne / Dry/Normal / Line",simple,FineLinesWrinklesAcneDryNormal-Line,Default,,,enabled,0
"Fine Lines / Acne / Oily/Very Oily / Line",simple,FineLinesWrinklesAcneOilyVeryOily-Line,Default,,,enabled,0
"Fine Lines / Sensitive / Combo/Oily / Line",simple,FineLinesWrinklesSensitiveComboOily-Line,Default,,,enabled,0
"Fine Lines / Sensitive / Normal / Line",simple,FineLinesWrinklesSensitiveNormal-Line,Default,,,enabled,0
"Fine Lines / Sensitive / Dry / Line",simple,FineLinesWrinklesSensitiveDry-Line,Default,,,enabled,0
"Fine Lines / Discoloration / Dry/Normal / Line",simple,FineLinesWrinklesDiscolorationDryNormal-Line,Default,,,enabled,0
"Acne / Dry/Normal / Line",simple,Acne-Line,Default,,,enabled,0
"Acne / Discoloration / Dry / Line",simple,AcneDiscolorationDry-Line,Default,,,enabled,0
"Acne / Discoloration / Combo/Oily / Line",simple,AcneDiscolorationComboOily-Line,Default,,,enabled,0
"Acne / Enlarged Pores / Combo/Oily / Line",simple,AcneEnlargedPoresComboOily-Line,Default,,,enabled,0
"Acne / Enlarged Pores / Dry / Line",simple,AcneEnlargedPoresDry-Line,Default,,,enabled,0
"Acne / Sensitive / Dry/Normal / Line",simple,AcneSensitiveDryNormal-Line,Default,,,enabled,0
"Acne / Sensitive / Oily/Combo / Line",simple,"Acne/Sensitive – Oily/Combo -Line",Default,,,enabled,0
"Enlarged Pores / Dry/Normal / Line",simple,EnlargedPoresDryNormal-Line,Default,,,enabled,0
"Enlarged Pores / Oily / Line",simple,EnlargedPoresOily-Line,Default,,,enabled,0
"Discoloration / Dry/Normal / Line",simple,DiscolorationDryNormal-Line,Default,,,enabled,0
"Discoloration / Enlarged Pores / Dry/Normal / Line",simple,DiscolorationEnlargedPoresDryNormal-Line,Default,,,enabled,0
"Discoloration / Oily / Line",simple,DiscolorationOily-Line,Default,,,enabled,0
"Discoloration / Enlarged Pores / Oily / Line",simple,DiscolorationEnlargedPoresOily-Line,Default,,,enabled,0
"Discoloration / Sensitive / Dry / Line",simple,DiscolorationSensitiveDry-Line,Default,,,enabled,0
"Discoloration / Sensitive / Oily / Line",simple,DiscolorationSensitiveOily-Line,Default,,,enabled,0
"Sensitive / Dry/Normal /  Line",simple,"Sensitive / Dry/Normal /  Line",Default,,,enabled,0
"Sensitive / Enlarged Pores / Dry/Normal / Line",simple,SensitiveEnlargedPoresDryNormal-Line,Default,,,enabled,0
"Sensitive / Enlarged Pores / Oily / Line",simple,SensitiveEnlargedPoresOily-Line,Default,,,enabled,0
"Sensitive / Oily / Line",simple,SensitiveOily-Line,Default,,,enabled,0
"Fine Lines / Discoloration / Oily/Combo / Cyto",simple,FineLinesWrinklesDiscoloration-OilyCombo-Cyto,Default,,,enabled,0
"Fine Lines / Discoloration / Oily/Combo / Line",simple,FineLinesWrinklesDiscolorationOilyCombo-Line,Default,,,enabled,0
"Fine Lines / Discoloration / Oily/Combo / Most/All / Line",simple,"Fine Lines / Discoloration / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Fine Lines / Discoloration / Oily/Combo / Most/All / Cyto",simple,"Fine Lines / Discoloration / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Sensitive / Oily / Most/All / Line",simple,"Sensitive / Oily / Most/All / Line",Default,,,enabled,0
"Sensitive / Enlarged Pores / Oily/Combo / Most/All / Line",simple,"Sensitive / Enlarged Pores / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Sensitive / Enlarged Pores / Dry/Normal / Most/All / Line",simple,"Sensitive / Enlarged Pores / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Sensitive / Dry/Normal / Most/All / Line",simple,"Sensitive / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Discoloration / Sensitive / Oily/Combo / Most/All / Line",simple,"Discoloration / Sensitive / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Discoloration / Sensitive / Dry/Normal / Most/All / Line",simple,"Discoloration / Sensitive / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Discoloration / Enlarged Pores / Oily/Combo / Most/All / Line",simple,"Discoloration / Enlarged Pores / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Discoloration / Oily/Combo / Most/All / Line",simple,"Discoloration / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Discoloration / Enlarged Pores / Dry/Normal / Most/All / Line",simple,"Discoloration / Enlarged Pores / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Discoloration / Dry/Normal / Most/All / Line",simple,"Discoloration / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Enlarged Pores / Oily/Combo / Most/All / Line",simple,"Enlarged Pores / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Enlarged Pores / Dry/Normal / Most/All / Line",simple,"Enlarged Pores / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Acne / Sensitive / Oily/Combo / Most/All / Line",simple,"Acne / Sensitive / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Acne / Sensitive / Dry/Normal / Most/All / Line",simple,"Acne / Sensitive / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Acne / Enlarged Pores / Dry/Normal / Most/All / Line",simple,"Acne / Enlarged Pores / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Acne / Enlarged Pores / Combo/Oily / Most/All / Line",simple,"Acne / Enlarged Pores / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Acne / Discoloration / Oily/Combo / Most/All / Line",simple,"Acne / Discoloration / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Acne / Discoloration / Dry/Normal / Most/All / Line",simple,"Acne / Discoloration / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Acne / Most/All / Line",simple,"Acne / Most/All / Line",Default,,,enabled,0
"Fine Lines / Discoloration / Dry/Normal / Most/All / Line",simple,"Fine Lines / Discoloration / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Fine Lines / Sensitive / Dry / Most/All / Line",simple,"Fine Lines / Sensitive / Dry / Most/All / Line",Default,,,enabled,0
"Fine Lines / Sensitive / Normal / Most/All / Line",simple,"Fine Lines / Sensitive / Normal / Most/All / Line",Default,,,enabled,0
"Fine Lines / Sensitive / Combo/Oily / Most/All / Line",simple,"Fine Lines / Sensitive / Combo/Oily / Most/All / Line",Default,,,enabled,0
"Fine Lines / Acne / Oily/Very Oily / Most/All / Line",simple,"Fine Lines / Acne / Oily/Very Oily / Most/All / Line",Default,,,enabled,0
"Fine Lines / Acne / Dry/Normal / Most/All / Line",simple,"Fine Lines / Acne / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Fine Lines / Enlarged Pores / Dry/Normal / Most/All / Line",simple,"Fine Lines / Enlarged Pores / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Fine Lines / Enlarged Pores / Oily / Most/All / Line",simple,"Fine Lines / Enlarged Pores / Oily / Most/All / Line",Default,,,enabled,0
"Fine Lines / Oily/Combo / Most/All / Line",simple,"Fine Lines / Oily/Combo / Most/All / Line",Default,,,enabled,0
"Fine Lines / Dry/Normal / Most/All / Line",simple,"Fine Lines / Dry/Normal / Most/All / Line",Default,,,enabled,0
"Sensitive / Oily / Most/All / Cyto",simple,"Sensitive / Oily / Most/All / Cyto",Default,,,enabled,0
"Sensitive / Enlarged Pores / Oily/Combo / Most/All / Cyto",simple,"Sensitive / Enlarged Pores / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Sensitive / Enlarged Pores / Dry/Normal / Most/All / Cyto",simple,"Sensitive / Enlarged Pores / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Sensitive / Dry/Normal / Most/All / Cyto",simple,"Sensitive / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Sensitive / Oily/Combo / Most/All / Cyto",simple,"Discoloration / Sensitive / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Sensitive / Dry / Most/All / Cyto",simple,"Discoloration / Sensitive / Dry / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Enlarged Pores / Oily/Combo / Most/All / Cyto",simple,"Discoloration / Enlarged Pores / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Oily/Combo / Most/All / Cyto",simple,"Discoloration / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Enlarged Pores / Dry/Normal / Most/All / Cyto",simple,"Discoloration / Enlarged Pores / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Discoloration / Dry/Normal / Most/All / Cyto",simple,"Discoloration / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Enlarged Pores / Oily/Combo / Most/All / Cyto",simple,"Enlarged Pores / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Enlarged Pores / Dry/Normal / Most/All / Cyto",simple,"Enlarged Pores / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Acne / Sensitive / Oily/Combo / Most/All / Cyto",simple,"Acne / Sensitive / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Acne / Sensitive / Dry/Normal / Most/All / Cyto",simple,"Acne / Sensitive / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Acne / Enlarged Pores / Dry/Normal / Most/All / Cyto",simple,"Acne / Enlarged Pores / Dry/Normal / Sometimes/Most/All / Cyto",Default,,,enabled,0
"Acne / Enlarged Pores / Combo/Oily / Most/All / Cyto",simple,"Acne / Enlarged Pores / Combo/Oily / Most/All / Cyto",Default,,,enabled,0
"Acne / Discoloration / Combo/Oily / Most/All / Cyto",simple,"Acne / Discoloration / Combo/Oily / Most/All / Cyto",Default,,,enabled,0
"Acne / Discoloration / Dry/Normal / Most/All / Cyto",simple,"Acne / Discoloration / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Acne / Most/All / Cyto",simple,"Acne / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Discoloration / Dry/Normal / Most/All / Cyto",simple,"Fine Lines / Discoloration / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Sensitive / Dry / Most/All / Cyto",simple,"Fine Lines / Sensitive / Dry / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Sensitive / Normal / Most/All / Cyto",simple,"Fine Lines / Sensitive / Normal / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Sensitive / Oily/Combo / Most/All / Cyto",simple,"Fine Lines / Sensitive / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Acne / Oily/Very Oily / Most/All / Cyto",simple,"Fine Lines / Acne / Oily/Very Oily / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Acne / Dry/Normal / Most/All / Cyto",simple,"Fine Lines / Acne / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Enlarged Pores / Dry/Normal / Most/All / Cyto",simple,"Fine Lines / Enlarged Pores / Dry/Normal / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Enlarged Pores / Oily/Combo / Most/All / Cyto",simple,"Fine Lines / Enlarged Pores / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
"Fine Lines / Oily/Combo / Most/All / Cyto",simple,"Fine Lines / Oily/Combo / Most/All / Cyto",Default,,,enabled,0
